wall_time,ros_time_sec,event,mode,stable_gesture,nav_lin_x,nav_ang_z,out_lin_x,out_ang_z
2026-04-27T20:23:30,1777335810.333,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:23:31,1777335811.982,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:23:42,1777335822.782,estop_fist,IDLE,Fist,0.2084,-0.2821,0.0000,0.0000
2026-04-27T20:23:49,1777335829.933,pass_nav,NAV,OpenPalm,0.1968,0.4359,0.1968,0.4359
2026-04-27T20:23:51,1777335831.532,estop_fist,IDLE,Fist,0.2200,0.4872,0.0000,0.0000
2026-04-27T20:23:59,1777335839.233,pass_nav,NAV,OpenPalm,0.2200,-0.0256,0.2200,-0.0256
2026-04-27T20:24:01,1777335841.582,correct_right,NAV,PointRight,0.2200,0.0000,0.2200,-0.3500
2026-04-27T20:24:04,1777335844.033,correct_left,NAV,PointLeft,0.2200,0.1795,0.2200,0.5295
2026-04-27T20:24:06,1777335846.884,correct_right,NAV,PointRight,0.2084,-0.2308,0.2084,-0.5808
2026-04-27T20:24:08,1777335848.883,pass_nav,NAV,OpenPalm,0.2084,0.3333,0.2084,0.3333
2026-04-27T20:24:11,1777335851.583,correct_left,NAV,PointLeft,0.2200,-0.2821,0.2200,0.0679
2026-04-27T20:24:16,1777335856.235,speed_limit,NAV,ThumbUp,0.0000,0.8974,0.0000,0.4038
2026-04-27T20:24:16,1777335856.532,estop_fist,IDLE,Fist,0.0000,0.7436,0.0000,0.0000
2026-04-27T20:24:19,1777335859.933,pass_nav,IDLE,None,0.0000,0.1795,0.0000,0.1795
2026-04-27T20:24:30,1777335870.783,estop_fist,IDLE,Fist,0.2200,0.2821,0.0000,0.0000
2026-04-27T20:24:33,1777335873.433,pass_nav,NAV,OpenPalm,0.2084,-0.1795,0.2084,-0.1795
2026-04-27T20:24:34,1777335874.484,estop_fist,IDLE,Fist,0.1968,-0.0769,0.0000,0.0000
2026-04-27T20:24:37,1777335877.985,pass_nav,IDLE,None,0.2084,0.2308,0.2084,0.2308
2026-04-27T20:25:34,1777335934.834,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
